description,fdcId,dataType,publishedDate,brands,categories,code
"Babyfood, dinner, vegetables and beef, strained",173494,SR Legacy,2019-04-01,,,
"Babyfood, dinner, vegetables and chicken, junior",173513,SR Legacy,2019-04-01,,,
"Babyfood, dinner, vegetables and lamb, junior",172262,SR Legacy,2019-04-01,,,
"Babyfood, dinner, vegetables and turkey, junior",173502,SR Legacy,2019-04-01,,,
"Babyfood, dinner, vegetables and turkey, strained",173501,SR Legacy,2019-04-01,,,
"Babyfood, dinner, vegetables chicken, strained",173498,SR Legacy,2019-04-01,,,
"Babyfood, meat, beef with vegetables, toddler",167720,SR Legacy,2019-04-01,,,
"Babyfood, vegetable and brown rice, strained",169864,SR Legacy,2019-04-01,,,
"Babyfood, vegetable, butternut squash and corn",173510,SR Legacy,2019-04-01,,,
"Babyfood, vegetable, green beans and potatoes",173504,SR Legacy,2019-04-01,,,
"Babyfood, vegetables, corn, creamed, junior",171334,SR Legacy,2019-04-01,,,
"Babyfood, vegetables, corn, creamed, strained",172280,SR Legacy,2019-04-01,,,
"Babyfood, vegetables, green beans, junior",172272,SR Legacy,2019-04-01,,,
"Babyfood, vegetables, green beans, strained",172271,SR Legacy,2019-04-01,,,
"Babyfood, vegetables, spinach, creamed, strained",170941,SR Legacy,2019-04-01,,,
"Babyfood, vegetables, sweet potatoes strained",172276,SR Legacy,2019-04-01,,,
"Babyfood, vegetables, sweet potatoes, junior",172277,SR Legacy,2019-04-01,,,
"Beef with vegetable, diet frozen meal",2707097,Survey (FNDDS),2024-10-31,,,
Chow fun noodles with meat and vegetables,2708796,Survey (FNDDS),2024-10-31,,,
"Chow fun noodles with vegetables, meatless",2708797,Survey (FNDDS),2024-10-31,,,
"Congee, with meat, poultry, and/or seafood, and vegetables",2708982,Survey (FNDDS),2024-10-31,,,
Dark green vegetables as ingredient in omelet,2710806,Survey (FNDDS),2024-10-31,,,
"Egg rolls, vegetable, frozen, prepared",172105,SR Legacy,2019-04-01,,,
"Pizza with beans and vegetables, thick crust",2708673,Survey (FNDDS),2024-10-31,,,
"Pizza with beans and vegetables, thin crust",2708672,Survey (FNDDS),2024-10-31,,,
"Potato, baked, peel eaten, with vegetables",2709530,Survey (FNDDS),2024-10-31,,,
"Potato, baked, peel not eaten, with vegetables",2709523,Survey (FNDDS),2024-10-31,,,
"Shortening industrial, lard and vegetable oil",173566,SR Legacy,2019-04-01,,,
"Shortening, household, lard and vegetable oil",172327,SR Legacy,2019-04-01,,,
"Soup, chicken vegetable, canned, condensed",171149,SR Legacy,2019-04-01,,,
"Soup, cream of vegetable, dry, powder",171166,SR Legacy,2019-04-01,,,
"Soup, vegetable beef, canned, condensed",171163,SR Legacy,2019-04-01,,,
"Soup, vegetable broth, ready to serve",171583,SR Legacy,2019-04-01,,,
"Soup, vegetable, canned, reduced sodium",2710112,Survey (FNDDS),2024-10-31,,,
"Soup, vegetarian vegetable, canned, condensed",171161,SR Legacy,2019-04-01,,,
"Soy based sauce, for use with vegetables",2710246,Survey (FNDDS),2024-10-31,,,
"Tomato and vegetable juice, low sodium",167708,SR Legacy,2019-04-01,,,
"Vegetables, mixed, canned, drained solids",170065,SR Legacy,2019-04-01,,,
"Vegetables, mixed, canned, solids and liquids",170064,SR Legacy,2019-04-01,,,
"Bread, pita with fruit",2707617,Survey (FNDDS),2024-10-31,,,
"Cake, coffeecake, fruit",174937,SR Legacy,2019-04-01,,,
"Cake, fruit cake",2707875,Survey (FNDDS),2024-10-31,,,
"Candy, fruit snacks",2710367,Survey (FNDDS),2024-10-31,,,
"Cereal, fruit crispy",2708460,Survey (FNDDS),2024-10-31,,,
"Cereal, fruit rings",2708459,Survey (FNDDS),2024-10-31,,,
"Cheese, cottage, with fruit",2705751,Survey (FNDDS),2024-10-31,,,
"Crepe, fruit filled",2708037,Survey (FNDDS),2024-10-31,,,
"Danish pastry, with fruit",2708060,Survey (FNDDS),2024-10-31,,,
"Fruit butters, apple",168816,SR Legacy,2019-04-01,,,
"Fruit juice, NFS",2709315,Survey (FNDDS),2024-10-31,,,
"Fruit nectar, NFS",2709340,Survey (FNDDS),2024-10-31,,,
"Fruit punch, alcoholic",2710674,Survey (FNDDS),2024-10-31,,,
"Fruit smoothie, bottled",2709339,Survey (FNDDS),2024-10-31,,,
"Fruit smoothie, light",2709338,Survey (FNDDS),2024-10-31,,,
"Fruit smoothie, NFS",2705513,Survey (FNDDS),2024-10-31,,,
"Fruit, chocolate covered",2709295,Survey (FNDDS),2024-10-31,,,
Gelatin dessert with fruit,2710311,Survey (FNDDS),2024-10-31,,,
"Kiwi fruit, raw",2709239,Survey (FNDDS),2024-10-31,,,
"Pancakes, fruit, frozen",2708296,Survey (FNDDS),2024-10-31,,,
Passion fruit nectar,2709348,Survey (FNDDS),2024-10-31,,,
"Passion fruit, raw",2709248,Survey (FNDDS),2024-10-31,,,
"Pastry, fruit-filled",2708047,Survey (FNDDS),2024-10-31,,,
"Syrup, fruit flavored",167957,SR Legacy,2019-04-01,,,
